translation,category,macrocategory,subcategory,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
dried sheep,Meat,Meat,other,9.875,46,0,,8,,,148.25,,35.25,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried white bream,Fish,Meat,,194.454545454545,900,1,,,,,,,1080,,,,,,,,,,,,,23,,,,,,,,,401,,,,720,900,,,450,,,,,,,,,,,,
ducks,Meat,Meat,bird,44.3846153846154,112,0,,742,,,304,982,490,,,,,,,,,,,,,0,,,,4617,759,,,,41,,78,4,,,,,,,,10,,56,,,,,,12,
eggs,Eggs,Meat,,"1,528.63157894737",7803,1,,104832,,,74731,117328,115500,,2085,,,,,,,,,,,1874,,,2407,130298,30807,,,,1500,,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
European white fish,Fish,Meat,,39.2222222222222,144,0,,144,,,,268,288,,,,,,,,,,,,,0,,,,96,,,,,168,,,,,,,,,,,,,144,,,,,,,
fattened pig,Meat,Meat,Pork,1.14285714285714,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
fieldfare,Meat,Meat,"Bird, wild",32.2,81,0,,729,,,3,197,3180,,,,,,,,,,,,,0,,,,1423,762,,,,2,,,,,,,,,,,20,,40,,,,,,,
figs,Fruit,Fruits and Vegetables,,10.4285714285714,65,1,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,0,,,,,,,,,,,,,,,,,,,,
finch,Meat,Meat,"Bird, wild",0.875,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fine salt,Salt,Flavoring/Other,,80.1428571428571,432,1,,3744,,,2112,3648,3835,,,,,,,,,,,,,48,,,,5644,782,,,,24,,84,48,72,72,,,,,,432,,,,,,,,24,
fish guts,Fish,Flavoring/Other,,29.5714285714286,92,1,,,,,,6,,,,,,,,,,,8,,,,,,,4,20,,,,0,,,,,,,,,,,,,,,,,,,,
flounder,Fish,Meat,,1.14285714285714,2,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geese,Meat,Meat,"bird, fowl",52.6875,159,1,,1165,,,580,882,2876,,,,,,,,,,,,,23,,,42,1730,654,83,,,12,,41,6,,7,,,,,,128,,159,,,,,,4,
ginger,Spice,Flavoring/Other,,16.3359375,50,3.5,,204.72,,,115.75,221.75,335.2,,4.25,,,,,,,,79.75,33.5,,5.75,,,,337.625,112.25,,,,1,,4.375,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
Gouda Cheese,Dairy,Dairy,,32.1,101,0,,13,,,2,52,99,,,,,,,,,,,,,0,,,,125,43,,,,14,,2,,,,,,,,,1,,,,,,,,,
gray partridge,Meat,Meat,"bird, fowl, wild",45,132,0,,52,,,58,123,516,,,,,,,,,,,,,0,,,,3639,62,,,,,,10,,,,,,,,,132,,,,,,,,,
gudgeon,Fish,Meat,,48.6666666666667,225,0,,523,,,1196,694,2076,,,,,,,,,,,,,0,,,,13973,107,,,,64,,,,,,225,,,,,,,,,,,,,,
haddock,Fish,Meat,,14.2857142857143,94,1,,20,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half dried white bream,Fish,Meat,,23.7142857142857,81,1,,162,,,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-smoked salmon,Fish,Meat,,1.14285714285714,2,1,,293.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Meat,Meat,pork,16.4444444444444,84,0,,,,,,,,,,,,,,,,,,,,0,,,,145,82,,,,3,,9,,,,,,,,,,,,,,,,,,
hazel grouse,Meat,Meat,"bird, fowl, wild",21.25,82,0,,595,,,177,485,1057,,,,,,,,,,,,,0,,,,1696,487,4,,,,,9,2,,,,,,,,21,,,,,,,,,
hen,Meat,Meat,"bird, fowl",178,1326,1,,5596,,,3253,6603,5619,,,,,,,,,,,,,89,,,122,14760,4210,231,,,62,,342,66,,28,,,,,,343,,1326,58,,,,,58,
