gray partridge,Meat,Meat,"bird, fowl, wild",,52,,,58,123,516,,,,,,,,,,,,,0,,,,3639,62,,,,,,10,,,,,,,,,132,,,,,,,,,
gudgeon,Fish,Meat,,,523,,,1196,694,2076,,,,,,,,,,,,,0,,,,13973,107,,,,64,,,,,,225,,,,,,,,,,,,,,
haddock,Fish,Meat,,,20,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half dried white bream,Fish,Meat,,,162,,,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-smoked salmon,Fish,Meat,,,293.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Meat,Meat,pork,,,,,,,,,,,,,,,,,,,,0,,,,145,82,,,,3,,9,,,,,,,,,,,,,,,,,,
hazel grouse,Meat,Meat,"bird, fowl, wild",,595,,,177,485,1057,,,,,,,,,,,,,0,,,,1696,487,4,,,,,9,2,,,,,,,,21,,,,,,,,,
hen,Meat,Meat,"bird, fowl",,5596,,,3253,6603,5619,,,,,,,,,,,,,89,,,122,14760,4210,231,,,62,,342,66,,28,,,,,,343,,1326,58,,,,,58,
honey,Honey,Flavoring/Other,,,,,,24,24,6,,48,,,,,,,,36,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,,,,,
jellied eel,Fish,Meat,,,24,,,240,48,312,,,,,,,,,,,,,48,,,,96,226,,,,132,,,,,,,,,,,,,,,,,,,,
lamb,Meat,Meat,Other,,463.5,,,140,485.75,366.5,,,,,,,,,,,,,8,,,1,"1,506.75",85.25,3.5,,,4,,25,6.5,3,12,,,,,,6,,1,3,,,,,,
lamprey,Fish,Meat,,,1220,,,,420,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lard,Cooking oil,Flavoring/Other,,,,,,9.5,29.5,2,,,,,,,,,,,,,,,,,11,11,,,,,,4,,,9,,,,,,2,,1,,,,,,,
lark,Meat,Meat,"Bird, wild",,2679,,,1232,3229,60,,,,,,,,,,,,,0,,,,,,,,,24,,190,,,,,,,,,,,,,,,,,,
lemons,Fruit,Fruits and Vegetables,Citrus,,2757,,,1702,4112,4778,,24,,,,,,,,7862,700,,87,,,,,1697,,,,40,,60,,175,140,,,,,,50,,,,,,,,,
mace,Spice,Flavoring/Other,,,26.2,,,22.9,42.14,41.3,,0.25,,,,,,,,76,9,,0.9,,,,71.84,37.5,,,,4.09,,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
millet gruel,Grain,Grain,,,178,,,60,204,456,,,,,,,,,,,,,0,,,,87,,,,,0,,,,,,,,,,,,,,,,,,,,
Moose,Meat,Meat,"venison, wild",,15.75,,,,10.75,54.25,,,,,,,,,,,,,1,,,,5,10,,,,,,,,,,,,,,,4.5,,,,,,,,,
Moose and pickeled game (probably also moose),Meat,Meat,"venison, wild",,28.87,,,,1,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,Seasoning,Flavoring/Other,,,57,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton,Meat,Meat,Other,,737.25,,,194.12,860.75,931.25,,,,,,,,,,,,,16.25,,,19.5,"2,689.5",671.5,32,,,4,,15.5,5,,,,,,,,283,,314,,,,,,,
nutmeg,Spice,Flavoring/Other,,,14.828,,,14.5,22.03,22.9,,,,,,,,,,62.75,10,,0.5,,,,69.375,36.125,,,,0.6,,0.5,0.69,1.1,0.75,2,,,,,1.25,,,,,,,,,
oat groats,Grain,Grain,,,459.5,,,463,936,1275,,,,,,,,,,,,,52,,,,2295,336,,,,28,,,,,,,,,,,72,,336,,,,,,,
olives,Olives,Flavoring/Other,,,121.5,,,24,31,127,,,,,,,,,,96,4,,1.5,,,,,34,,,,3,,,,,,,,,,,1,,,,,,,,,
oxen,Meat,Meat,Beef,,1,,,1,1,5,,1,,,,,,,,,,,25,,,12.5,4,11,26,,,2,,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
oysters,Fish,Meat,,,3456,,,2592,192,,,,,,,,,,,480,,,0,,,,9216,384,,,,768,,1727,,,,,,,,,,,,,,,,,,
