translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
coot,Meat,Meat,"Bird, wild",-0.306119943382763,-0.160348541771924,-0.461609438434325,-0.44217325155288,,,,-0.549072279400829,,-0.33041517698457,,2.24973863152729,,,,,,,,,,,,,,,,,,,,,18.125,83,0,,,,,,,,,,,,,,,,,,,,0,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,
corned beef,Meat,Meat,Beef,1.90657312627131,-0.169550060231024,0.972317692345259,,,,,-1.10380549415707,-0.619376750639863,0.903113586128515,0.107266364635954,,-0.0311418477975349,-0.861591122398468,-1.10380549415707,,,,,,,,,,,,,,,,,,83.1111111111111,576,0,,245,,,540,120,192,,,,,,,,,,,,,0,,,,288,,576,,,,,,,,,,,,,,,,,,,,,,,
cow tongue,Meat,Meat,Beef,0.0932521260258093,-0.358783603523029,1.24388852851376,2.0246775159163,-0.728631018608442,,,-0.235501131827891,-0.605348546913304,1.65483010083089,-0.934101804767005,-0.13276573874861,-0.769725175840155,-0.266321749751676,,-0.985469501306646,,,,,,,,,,,,,,,,,25,65,1,,60,,,168,328,,,,,,,,,,,,,,4,,,18,476,275,,,,46,,11,4,,,,,,,,,,,,,,,,,
cow trunk,Meat,Meat,Beef,,,,,,,,,,,,,,1.15453245154178,-0.594328281705004,,,,,,,,,,,-0.560204169836774,,,,,,,23.1923076923077,75,0.75,,164,,,125,289,542.125,,7,,,,,,,,,,,19,,,10,494,10.25,21.5,,,0.75,,18.25,,0.75,,,,,,,,,,,,,,,,
crabs,Seafood,Meat,,-0.601612661903145,,-0.660021658204421,,,,,,,-0.202484520511091,-0.290098014963005,,,1.75421685558166,,,,,,,,,,,,,,,,,,,386.2,3315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,240,,,,,,,,,,,300,,,,,,
crucian carp,Fish,Meat,,0.597515517278363,,,,,,,-1.39420287364951,,-0.232367145608252,1.26142164758766,,-0.232367145608252,,,,,,,,,,,,,,,,,,,,48.5,260,1,,1267,,,,1000,,,,,,,,,,,,,,,,,,4560,360,,,,,,260,,,,,,,,,,,,,,,,,,
curlew,Meat,Meat,"Bird, wild",1.24557906037138,0.267695597861955,1.87142447637741,1.67584778387553,-0.475495833645207,-1.25780260365275,,-0.0061117716406839,,-0.3190344796437,0.619733644365348,,-0.0843424486414378,-1.17957192665199,-0.710187864647469,0.697964321366101,-0.221246133392757,-1.25780260365275,,,,,-0.866649218648977,,,,,,,,,,4.625,17,0,,12,,,,,,,,,,,,,,,,,,0,,,,11,13,,,,1,,,,,,,,,,,,,,,,,,,,
currants,Fruit,Fruits and Vegetables,preserved,,,,-0.671018948942682,,-0.10323368445272,,,,1.44527158233809,,,-0.671018948942682,,,,,,,,,,,,,,,,,,,,40.5,91,10,,434,,,245.75,580,663.25,,30,,,,,,,,242.5,,,42,,,,1937,416,,,,6,,12,24,60,36.5,10,,,,,20,,,,,,,,,
dates,Fruit,Fruits and Vegetables,,0.973176280060335,-0.0671156055214024,1.24163870214594,,,,,-1.14096529386384,,0.771829463496128,-0.771829463496128,,,,,,,,,,,,-1.00673408282104,,,,,,,,,,9,43,1,,,,,,,0,,,,,,,,,,27,,,,,,,28,,,,,0,,,,,,,,,,,,,,,,,,,,
Deer,Meat,Meat,"venison, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2222222222222,72,0,,31.5,,,17.25,37.75,,,,,,,,,,,,,,0,,,,44,12,,,,,,,,,,,,,,,4,,,,,,,,,
deer tongue,Meat,Meat,other,-0.674607525285518,0.891445658413005,,0.770980028897734,,,,-1.1564700433466,,,0.168651881321379,-0.835228364639212,0.329272720675074,1.97563632405044,-0.754917944962365,,,,,,,,,,,-0.714762735123941,,,,,,,1,1,1,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doves,Meat,Meat,"Bird, wild",0.986123145659458,0.841409057197902,1.33343695796719,1.01506596335177,,,,-1.35824508741774,,-0.75044591587921,-0.779388733571521,,0.0888957971978127,-1.06881691049463,0.494095244890169,0.957180327967147,0.609866515659413,,,,,,-1.12670254587926,,-1.2424738166485,,,,,,,,25.0833333333333,80,1,,121,,,263,,385,,,,,,,,,,,,,2,,,,,243,10,,,50,,80,12,,,,,,,,,,,13,,,,,,
dried beef,Meat,Meat,Beef,1.37865359830358,-0.492926426209102,-0.931939024551583,-0.0770197540951722,,,,,,1.05517063110386,,,-0.931939024551583,,,,,,,,,,,,,,,,,,,,41.6428571428571,94,0,,506,,,482,611,643,,,,,,,,,,,,,0,,,,142,152,,,,9,,10,64,80,68,,,,,,8,,4,,,,,,,
dried carp,Fish,Meat,,,-0.281681675214504,-0.404917408120849,-0.0731288964499192,,,,-0.613470186885434,,-0.300641018738557,-0.556592156313274,,,,,,2.23043134172254,,,,,,,,,,,,,,,,22,88,1,,732,,,135,0,300,,,,,,,,,,,,,,,,,79,,,,,0,,,,,,,,,,,,,,,,,,,,
dried common roach,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1111111111111,300,0,,,,,180,1260,412,,,,,,,,,,,,,0,,,,1920,1080,,,,,,,,,300,,,,,,,,,,,,,,,
dried eel,Fish,Meat,,1.06285605626052,-0.739378126094274,-0.219502881184238,1.68670635015256,,,,-1.01664492337963,,-0.704719776433605,1.09751440592119,,-0.49676967846959,-0.670061426772936,,,,,,,,,,,,,,,,,,,1.42857142857143,2,1,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
dried geese,Meat,Meat,"Bird, fowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4444444444444,79,0,,297,,,108,128,60,,,,,,,,,,,,,0,,,,117,44,,,,15,,10,,,,,,,,,,,,,,,,,,
dried lamb,Meat,Meat,other,-0.3977834013157,-0.3977834013157,2.04080179805446,-0.3977834013157,,,,-0.449668192791661,,,,,-0.3977834013157,,,,,,,,,,,,,,,,,,,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried lamprey,Fish,Meat,,1.78878413176259,,-0.442079373524852,-0.442079373524852,,,,-0.462546011188039,,,,,-0.442079373524852,,,,,,,,,,,,,,,,,,,,7.25,49,0,,0,,,0,2500,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
