"","foodname","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688","mean","max","min"
"57","dried maraena whitfish",NA,111,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,0
"58","dried mutton",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,2,1
"59","dried pike-perch",NA,79,NA,NA,31,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,85,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.75,85,0
"60","dried plums",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,NA,0,NA,NA,NA,2,20,NA,NA,NA,41,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,41,0
"61","Dried roe",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85714285714286,49,1
"62","dried salmon",NA,93,NA,NA,65,103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,65,74,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.125,103,0
"63","dried sheep",NA,105,NA,NA,27,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.875,46,0
"64","dried white bream",NA,1,NA,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,23,NA,NA,NA,1,1,NA,NA,NA,34,NA,NA,NA,720,900,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.454545454545,900,1
"65","ducks",NA,104,NA,NA,59,112,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,61,80,NA,NA,NA,35,NA,78,4,NA,NA,NA,NA,NA,NA,NA,10,NA,56,NA,NA,NA,NA,NA,12,NA,44.3846153846154,112,0
"66","eggs",NA,7,NA,NA,97,18,11,NA,2085,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1874,NA,NA,2407,17,44,NA,NA,NA,17,NA,5158,2257,4293,400,NA,330,NA,NA,NA,1452,NA,7803,600,NA,NA,NA,NA,180,NA,1528.63157894737,7803,1
"67","European white fish",NA,24,NA,NA,1,52,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,98,1,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,39.2222222222222,144,0
"68","fattened pig",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,2,1
"69","fieldfare",NA,101,NA,NA,57,36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,23,81,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,40,NA,NA,NA,NA,NA,NA,NA,32.2,81,0
"70","figs",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,65,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4285714285714,65,1
"71","finch",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,1,0
"72","fine salt",NA,68,NA,NA,43,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,48,NA,NA,NA,72,82,NA,NA,NA,24,NA,84,48,72,72,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,24,NA,80.1428571428571,432,1
"73","fish guts",NA,1,NA,NA,1,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,56,31,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5714285714286,92,1
"74","flounder",NA,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,2,1
"75","geese",NA,12,NA,NA,88,109,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,23,NA,NA,42,28,75,83,NA,NA,13,NA,41,6,NA,7,NA,NA,NA,NA,NA,128,NA,159,NA,NA,NA,NA,NA,4,NA,52.6875,159,1
